(0.25696143336437854, 0.25595664303506072, 0.25793216299252164)
(0.25696143336437854, 0.25597720910831062, 0.25796185465670024)
(0.25696143336437854, 0.25595604307138087, 0.25796888674694801)
(0.24256080968697188, 0.24172756715951441, 0.24336721805929046)
(0.25812002972156306, 0.256933100046219, 0.25946113966991086)
(0.23658175490106184, 0.23584181171258456, 0.23729449628909569)
(0.29617188084881041, 0.29538759083193972, 0.29692581129290441)
(0.24305884934200078, 0.24250727203428848, 0.24359629731180121)
(0.24443400568376006, 0.2439000007843613, 0.24496658368438767)
(0.25945082219629473, 0.25873385031806789, 0.26014176840566483)
(0.26392839377059885, 0.2633216019254318, 0.264512613646887)
(0.24822697749166905, 0.24766017210208166, 0.24881719148920761)
(0.23662173511777851, 0.23605736115057291, 0.23715382973658941)
(0.26342259079823266, 0.26302464577567169, 0.26380467311378092)
(0.25256550734430411, 0.25214721831673681, 0.25297831586529501)
(0.26804869791755953, 0.26753789088956953, 0.26855947488618437)
(0.25588085520843107, 0.25550259019525368, 0.25625004683183122)
(0.26267021034393562, 0.2623343221435947, 0.26300550299016873)
(0.27406764818905538, 0.27385638346136132, 0.27426330026051421)
(0.27171006950674575, 0.27159261476281449, 0.27181982290562112)
(0.26537542245987311, 0.2652722378386036, 0.26548526024996527)
(0.27071696217044044, 0.27061688298437869, 0.27081885360884217)
(0.27185457261310075, 0.27176602860362303, 0.27194391600779105)
2012-08	(0.25630015698772918, 0.25622203355496415, 0.25637717814439337)
2012-09	(0.25949567966990089, 0.25940724491390876, 0.25958153419401259)
2012-10	(0.25100941555541839, 0.25091814472158491, 0.25110088213466153)
2012-11	(0.2777643040222747, 0.27768151880561354, 0.27785648270671964)
2012-12	(0.2581742665539894, 0.25811686027799313, 0.25822996851524932)
2013-01	(0.26318164607601757, 0.2631317405620347, 0.26323307539324614)
2013-03	(0.26536761096465589, 0.26530329940937936, 0.26542518624061351)
2013-04	(0.26579293036923246, 0.26573878898100439, 0.26584794737089257)
2013-05	(0.26205608467975544, 0.26200357339653341, 0.26210713054621304)
2013-06	(0.25833966702537603, 0.25829118857182198, 0.25838773971292167)
2013-06	(0.25833966702537603, 0.25829150869909268, 0.25839154451337482)
2013-07	(0.26551823694768717, 0.26547213071366177, 0.26556237120758336)
2013-08	(0.2737994085542006, 0.27374940453341984, 0.27385466461751667)
2013-09	(0.25211470591943713, 0.25206277532113769, 0.25216533525757634)
2013-10	(0.25313678513989835, 0.25308094634265504, 0.25319624349377196)
2013-11	(0.25384602403112638, 0.25378137403455109, 0.25391364423196816)
2013-12	(0.26883784786079939, 0.26879754733978156, 0.26888027391820213)
2014-01	(0.25764065614978376, 0.25760604829248596, 0.25767236988016878)
2014-02	(0.25951141065504374, 0.25947358667541426, 0.25954628641599387)
2014-03	(0.26035292504625979, 0.26031776152666475, 0.26038793776392738)
2014-04	(0.26067280739498516, 0.26063274602767239, 0.26071156565397691)
2014-05	(0.25801187022080529, 0.25796915672137122, 0.2580545643085197)
2014-06	(0.25097520267439632, 0.25093704620474666, 0.25101479863666859)
2014-07	(0.25289784481272087, 0.25286361801250518, 0.25293615707418177)
2014-08	(0.25860671921980116, 0.25856931007774148, 0.25864871932577027)
2014-09	(0.257795316102852, 0.25775202069319403, 0.2578404056261534)
2014-09	(0.257795316102852, 0.25775193101783106, 0.25784201941367474)
2014-10	(0.26924508081811271, 0.26920049513282523, 0.26929197570186059)
2014-11	(0.25868686023318965, 0.25863314957047195, 0.25874034058023759)
2014-12	(0.27045656345269903, 0.2704085361145217, 0.27050721444977238)
2015-01	(0.2541984095792959, 0.25414819109155545, 0.25425106365510408)
2015-02	(0.27059013165048035, 0.27053095602762983, 0.27065272618910269)
2015-03	(0.25599723644505662, 0.25594402312258807, 0.2560580649293463)
2015-04	(0.26596606559871783, 0.26590238621206203, 0.2660289623558173)
2015-05	(0.26192392956146798, 0.26186065949649329, 0.26198978487416208)
2015-06	(0.25320920142002151, 0.25314371856005768, 0.25327294367768916)
2015-07	(0.2564813966442076, 0.25642595292361114, 0.2565388288434306)
2015-08	(0.25646633273814312, 0.25639684610102964, 0.25653064871893649)
2015-09	(0.26086036020639919, 0.26077078696038619, 0.26094052192811124)
2015-10	(0.26290293469253367, 0.26282958737439149, 0.26298711604121661)
2015-11	(0.2789712332192138, 0.27889317755844778, 0.27905102209315097)
2015-12	(0.27418749115979529, 0.27413555950559332, 0.27424253077368416)
2016-01	(0.26981036387442014, 0.26975629514985711, 0.26986226949971953)
2016-02	(0.27666566226006989, 0.27659347174935928, 0.27674087337335496)
2016-03	(0.27361276325019263, 0.27353702844183025, 0.27368805464101953)
