2010-08	(0.44555694832430809, 0.44322230840734256, 0.44798499709650724)
2010-09	(0.44378630872725683, 0.44146138480929004, 0.44623400306871069)
2010-10	(0.45431284658133225, 0.45135989718055541, 0.45736510157543114)
2010-11	(0.45966386903668138, 0.45778344032544804, 0.46160983438260422)
2010-12	(0.50796363431322988, 0.50654891539651259, 0.50940117091165427)
2011-01	(0.48554703291535162, 0.48449372100879556, 0.48664088486245527)
2011-02	(0.48387502640564017, 0.48253327486651532, 0.48521315405257875)
2011-03	(0.48554317123769897, 0.48403185509434149, 0.48698746332830262)
2011-04	(0.48760788740535138, 0.48648162081143081, 0.4887066134114319)
2011-05	(0.48547927943411645, 0.48415475440643579, 0.48676886851205181)
2011-06	(0.49359535586877035, 0.49225524390700398, 0.49486255523376654)
2011-07	(0.50408442383013374, 0.50327080011428305, 0.50481061805533001)
2011-08	(0.49622176234225873, 0.4953808591272465, 0.49704502973793974)
2011-09	(0.50387282858799831, 0.50294626336385118, 0.5048450944484415)
2011-10	(0.49694412863894077, 0.49614661860232329, 0.4976933089045269)
2011-11	(0.49512438719100244, 0.49438177736990574, 0.49587183636543208)
2011-12	(0.51925163762842963, 0.51885117413669646, 0.5196314543396886)
2012-01	(0.51837471621016606, 0.51814116359779749, 0.51858132743061114)
2012-02	(0.51948111615112769, 0.51926705316536048, 0.51971025335477039)
2012-03	(0.5224293469053708, 0.52222781791574824, 0.52263189840097524)
2012-04	(0.52503283860185113, 0.52487248835742539, 0.52519801612348083)
2012-05	(0.52368158101440088, 0.52351053487781962, 0.52386184306271388)
2012-06	(0.52405276931092604, 0.52390599195736343, 0.52420479053830593)
2012-07	(0.52816274896244253, 0.5280298253150767, 0.52829149487444393)
2012-08	(0.52510552269443289, 0.52494810644479972, 0.52527442392822943)
2012-09	(0.52941638260566704, 0.52924019296229929, 0.529580753808366)
2012-10	(0.52311832964480975, 0.52292778860694744, 0.52330909967524275)
2012-11	(0.54195062297158725, 0.54177259154865032, 0.54212846109046675)
2012-12	(0.53201662177744036, 0.53188408195040515, 0.53214013859358866)
2013-01	(0.5495060946369581, 0.5494062334428772, 0.54961766970212844)
2013-02	(0.54545060456129346, 0.54534148238513702, 0.54555555026029667)
2013-03	(0.54623744496441895, 0.54612170314726405, 0.54634505863245131)
2013-04	(0.54232428412320333, 0.54222149476121217, 0.54243281641245511)
2013-05	(0.54315223678236946, 0.54304429250803932, 0.54326631942674131)
2013-06	(0.54349221697386885, 0.54338925482244871, 0.54358848593794074)
2013-07	(0.54245834602698229, 0.54236752222464113, 0.54254807741544486)
2013-08	(0.5485251289670624, 0.54843292355022588, 0.54862174576856426)
2013-09	(0.54185967030881343, 0.54175520873254923, 0.54196729127587395)
2013-10	(0.54493930943623647, 0.54483072393785237, 0.54505148928392344)
2013-11	(0.53893483423516286, 0.53880119980186003, 0.53906902908284715)
2013-12	(0.55476445921966133, 0.55469123451548386, 0.55484209900765191)
2014-01	(0.54726016447300618, 0.54719458678539568, 0.5473267594579081)
2014-02	(0.56442220203083926, 0.56434699354305529, 0.564499594135209)
2014-03	(0.56933551884027989, 0.56926414552660587, 0.56939956283399995)
2014-03	(0.56933551884027989, 0.56926644821654715, 0.56940548841841776)
2014-04	(0.56917410767670196, 0.56909526542447253, 0.56925851363068947)
2014-05	(0.57136561974824784, 0.571281179069701, 0.57144992393616689)
2014-06	(0.56320908287911764, 0.56312341186485404, 0.56329307982804844)
2014-07	(0.56506804461721749, 0.56499755298108667, 0.56514405474695173)
2014-08	(0.56912558529375157, 0.56904514814897478, 0.56920756692477192)
2014-09	(0.56852055767708043, 0.5684289262960931, 0.56861000564288455)
2014-10	(0.57652204494976722, 0.5764357975080987, 0.57661163865877718)
2014-11	(0.56908822906802836, 0.56897940552773751, 0.56919617696512959)
2014-12	(0.57728146827629556, 0.57719066722129564, 0.57737474133103983)
2015-01	(0.56287669440181531, 0.5627848635924052, 0.56297753319989874)
2015-02	(0.54869555790139779, 0.54859369885927911, 0.54880429404547282)
2015-03	(0.53026502432977807, 0.53015352361919732, 0.53037901050837366)
2015-04	(0.53630995668054204, 0.53618445730267317, 0.53643197848805546)
2015-05	(0.53579529450389196, 0.53566413802225843, 0.5359277399457163)
2015-06	(0.53150556587037734, 0.531369837930731, 0.53163724946506874)
2015-07	(0.53336614987094377, 0.53323746624474155, 0.53347804433816015)
2015-08	(0.5312122424139829, 0.53108798184255313, 0.53133305020558164)
2015-09	(0.53959102397911274, 0.53943424319467292, 0.5397333182639491)
2015-10	(0.5510512325199578, 0.55090342710267015, 0.55119172260923599)
2015-11	(0.55914868060479805, 0.55902743140040467, 0.55927593830663447)
2015-12	(0.55935578696888877, 0.55926466326145396, 0.5594462810776365)
2016-01	(0.57553235106206879, 0.57543275608263122, 0.57562892025444767)
2016-02	(0.57614993775199974, 0.57602583179490607, 0.57627651039411998)
2016-03	(0.56985962062568307, 0.56972603964337043, 0.56998708235413742)
